Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		Trypsin	7.19E+09	4.08E+09	7.33E+09	7.88E+09	4.90E+07	5.01E+08	1.14E+08	3.92E+08	3.22E+09	4.06E+09	3.62E+09	4.34E+09	4.90E+07	6.13E+08	7.53E+07	3.92E+08	0	2	2	1		5.173925557	1.077228243	8.335888901
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	Alpha-S1-casein	1.11E+07				262361.25												1	0	0	0	-5.603503031			
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	Albumin		1.65E+09	5.97E+07	1.20E+09		3.78E+08	1.20E+07	1.05E+08		4.16E+08	5.42E+07	2.75E+08		1.53E+08		1.92E+08	0	3	1	1		-1.802552613	-0.121324343	-0.660477046
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C								1606104									0	0	0	0				
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	6122635.5	1.94E+08		2.11E+08	7676784.5	1.96E+08		1.56E+08	7635183.5	2.70E+07		2.55E+07	1.45E+07	3.26E+07		2.33E+07	1	17	0	13	0.594733864	-0.048685955		-0.521218267
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	5.04E+07	6.42E+07	2.79E+07	5.90E+07	5.50E+07	3.92E+07	2.33E+07	3.84E+07	2.59E+07	2.17E+07	3.91E+07	2.75E+07	2.26E+07	1.28E+07	2.88E+07	1.64E+07	3	4	1	4	0.408930305	-0.151602584	-0.456447816	-0.470046027
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	1.15E+07	4953810.5	1.24E+07	3473919	6026402.5		1.01E+07		6736804	4953810.5	9674303	3473919	3717587		8188404.5		3	0	2	0	-0.636869826		-0.511512236	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1		2.45E+07		4.24E+07		1.89E+07		2.17E+07		1.07E+07		1.38E+07		8687320		1.16E+07	0	4	0	3		-0.36093869		-0.190117801
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A			1.41E+07	4730308			1.05E+07	2668532			1.41E+07	4730308			1.05E+07	2668532	0	0	1	1			-0.640635557	-0.618255985
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7565728	7366465	1.15E+07	1111963	7385069	7465206	8620314		3873181.5	7529726.5	6086084		3787762.5	7716952.5	4607804		2	1	2	0	0.232512099	0.224746053	-0.291141926	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.90E+08	1.24E+07	1.39E+08	1.57E+07	2.40E+08	1.08E+07	1.12E+08	6590887	3.21E+07	8777791	3.06E+07	1.22E+07	2.15E+07	3787435.2	1.93E+07	5533546.5	19	2	10	2	-0.091084904	-0.610209714	-0.35804804	-0.893409068
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	2887993.8		1581526.8		2399135		1279236.5		1959041.8		1581526.8		1294709.1		1279236.5		2	0	1	0	0.094434876		-0.180233507	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	4222262	6444153	1.20E+07	1848351	2730652.5	4093323	3063519.5	400320	4401052	4229372.5	4906111	3275456.2	2107265.8	2805888.8	2364141.8	2456431.2	1	2	1	1	-0.360385649	-1.065604232	-0.493714837	-1.999381382
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1		3.76E+07		3.34E+07		3.03E+07		9.47E+07		8671127		7530265		2.51E+07		3.93E+07	0	6	0	5		-0.585670662		0.141855346
sp|A4D0V7|CPED1_HUMAN	A4D0V7	CPED1_HUMAN	CPED1	Cadherin-like and PC-esterase domain-containing protein 1	4097496				1405176.6												1	0	0	0	-1.275606336			
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6.59E+07	3305826.5	3.06E+07	5932477	5.08E+07	3740531.2	2.76E+07	5048248	1.50E+07	6297768	1.29E+07	5132095.5	1.30E+07	6965972	9884346	5110893.5	4	1	2	2	-0.315375561	0.383768622	-0.296917036	-0.024628754
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3.90E+07	902220	3.42E+07		2.91E+07		1.12E+08		1.27E+07		1.11E+07		2.40E+07		3.05E+07		4	0	4	0	-0.305420934		0.195330448	
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13		814465.9	5897071.5			507064.75				814465.9	5897071.5						0	1	0	0		-0.478147776		
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	5.15E+08	8.26E+07	5.35E+08	1.46E+08	3.18E+08	7.89E+07	2.79E+08	8.56E+07	7.97E+07	4.89E+07	7.43E+07	4.67E+07	2.38E+07	1.83E+07	2.70E+07	1.41E+07	23	8	17	18	-0.225089634	0.025651185	-0.178466416	-0.407886247
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	7576267.5	9.79E+07		1.66E+08	6433029.5	3.07E+07		5.14E+07	1.95E+07	5.43E+07		6.75E+07	6433029.5	1.82E+07		2.14E+07	1	2	0	3	0.032395642	-1.286495509		-0.057576648
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase			7391889.5				3054571										0	0	1	0			-1.574935819	
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	1.04E+07			5724524	1.16E+07												1	0	0	0	0.423385312			
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	9996144	1.97E+08	2182385.5	1.76E+08	6321095.5	1.70E+08	3.73E+07	1.04E+08	5769816	2.36E+07	5190689	1.68E+07	9363339	3.88E+07	1.04E+07	2.40E+07	2	13	1	9	-0.735216371	-0.04581341	-2.195124711	-0.392547009
sp|A6NNY8|UBP27_HUMAN	A6NNY8	UBP27_HUMAN	USP27X	Ubiquitin carboxyl-terminal hydrolase 27				3019196													0	0	0	0				
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C				1841026				1113202									0	0	0	1				-0.518162849
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8			1871403.9				1389127.5										0	0	1	0			-0.304140505	
sp|A8MPS7|YDJC_HUMAN	A8MPS7	YDJC_HUMAN	YDJC	Carbohydrate deacetylase	4.58E+07		7.65E+07		4.59E+07		5.72E+07		2.90E+07		3.24E+07		2.92E+07		2.54E+07		2	0	4	0	0.254885486		-0.419932853	
sp|A8MXT2|MAGBH_HUMAN	A8MXT2	MAGBH_HUMAN	MAGEB17	Melanoma-associated antigen B17	4497420.5				3343627												1	0	0	0	-0.159299228			
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19		6504437		3410177		2344377		702806		6504437		3410177		2344377		702806	0	1	0	1		-1.195380106		-2.071016472
sp|B2RUZ4|SMIM1_HUMAN	B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	2.19E+07		1.92E+07	4.16E+07	1.41E+07		1.31E+07	3.73E+07	1.55E+07		1.56E+07	3.09E+07	1.41E+07		1.31E+07	3.12E+07	1	0	1	2	-0.1598455		-0.241324205	-0.147636515
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1.08E+07				1.09E+07												1	0	0	0	0.280768582			
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	6.66E+08	5.02E+08	4.36E+08	5.32E+08	5.47E+08	4.23E+08	4.51E+08	4.92E+08	4.01E+08	3.68E+08	2.79E+08	3.82E+08	3.33E+08	3.26E+08	3.07E+08	3.70E+08	6	3	3	2	-0.271490756	0.05760412	0.120581297	0.063456226
sp|E9PQ53|NDUCR_HUMAN	E9PQ53	NDUCR_HUMAN	NDUFC2-KCTD14	"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2"	1.30E+07	4312944.5		1.07E+07	9440161	3029043.8		5887325	1.30E+07	4312944.5		1.07E+07	9440161	3029043.8		5887325	1	1	0	1	-0.419727684	-0.304274444		-0.658045317
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	4.36E+08	1.25E+07	5.44E+08	5.46E+07	3.67E+08	1.31E+07	5.25E+08	4.39E+07	1.18E+08	1.65E+07	1.69E+08	1.90E+07	1.22E+08	2.02E+07	1.76E+08	1.52E+07	6	1	6	3	-0.108492268	0.269367614	-0.098292195	-0.379849931
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein		2793118		3425620		4509983.5		2.42E+07									0	1	0	1		0.896782099		3.030049634
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2.36E+07		8888732		2.06E+07		8330958		1.31E+07		8888732		1.19E+07		8330958		2	0	1	0	0.060980659		-0.393457599	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	5.57E+07	1.06E+08	3.04E+07	8.05E+07	6.04E+07	1.08E+08	2.80E+07	5.90E+07	2.02E+07	2.81E+07	1.72E+07	2.68E+07	2.56E+07	2.16E+07	1.59E+07	1.72E+07	4	11	3	7	0.115539829	0.158420823	0.199620313	-0.187556451
sp|O00124|UBXN8_HUMAN	O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8		1337614.2	2.45E+07	1602802		1049721.4		2118713		1337614.2		1602802		1049721.4		2118713	0	1	0	1		-0.144119223		0.610223754
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1.04E+07	5.87E+07	8915406	2.86E+07	1.08E+07	5.08E+07	1.23E+07	2.59E+07	1.07E+07	2.02E+07	9180660	2.46E+07	1.08E+07	1.76E+07	1.23E+07	2.09E+07	1	5	1	2	0.324536086	0.014058012	0.594299512	0.154019491
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1.50E+07	2.82E+08	3.07E+07	1.92E+08	7426945	1.59E+08	1.53E+07	1.45E+08	1.50E+07	1.14E+08	2.05E+07	8.08E+07	8951781	5.10E+07	1.41E+07	4.41E+07	1	6	2	4	-1.556504615	-0.266109139	-1.553209593	-0.08425077
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2.66E+07	3.82E+08	4.90E+07	4.06E+08	1.99E+07	2.90E+08	3.49E+07	2.98E+08	1.62E+07	1.01E+08	2.57E+07	1.18E+08	1.21E+07	7.54E+07	2.10E+07	8.64E+07	2	11	2	9	-0.434502586	-0.261249221	-0.516136176	-0.192310597
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.82E+07	1.68E+08	8246609	2.42E+08	1.84E+07	1.82E+08	6683046.5	2.18E+08	9563170	6.96E+07	1.01E+07	6.06E+07	1.01E+07	6.89E+07	8490879	5.24E+07	2	5	1	5	0.420147165	0.390796933	-0.603257469	-0.10426863
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.07E+07		8978162		1.03E+07	4192100	8063264		1.07E+07		8978162		1.03E+07		8063264		1	0	1	0	-0.001025944		-0.455018429	
sp|O00160|MYO1F_HUMAN	O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	1.05E+07				4707388												1	0	0	0	-1.354288996			
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23		2.61E+07		3.36E+07		9822542		2.39E+07		2.64E+07		1.53E+07		1.99E+07		9487995	0	1	0	2		-0.582074791		-0.480334707
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.87E+07	3561784	5.02E+07	4991495	1.93E+07	2491374.2	4.28E+07	4694270	1.30E+07	4056246	2.04E+07	4696437	8888394	2836969.5	1.56E+07	2977929.8	3	1	3	3	-0.472126684	-0.310121764	-0.245078729	0.063007767
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	2.88E+07		2.52E+07	4.72E+07	2.31E+07		1.30E+07	3.42E+07	1.86E+07		1.94E+07	2.76E+07	1.31E+07		1.30E+07	1.69E+07	2	0	1	3	-0.071722335		-0.741800723	-0.216253098
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1		4.04E+07		5.48E+07		3.34E+07		4.57E+07		2.79E+07		2.10E+07		1.58E+07		1.55E+07	0	3	0	5		-0.313272516		0.016472453
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	3.25E+07	4.05E+07	3.35E+07	4.98E+07	2.80E+07	2.74E+07	1.91E+07	3.17E+07	1.34E+07	1.36E+07	1.27E+07	1.37E+07	1.33E+07	7920475.5	1.21E+07	9789152	3	5	2	4	-0.100447989	-0.346465887	-0.453072735	-0.478139632
sp|O00192|ARVC_HUMAN	O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	2.25E+07	133384.02	1965384.2		2.01E+07	338706.97	1506794			133384.02	1965384.2			338706.97	1506794		1	1	1	0	-0.138623043	1.549988398	-0.257527857	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	Small acidic protein		5.49E+07		1.08E+08		4.91E+07		1.00E+08		3.28E+07		3.12E+07		3.04E+07		2.88E+07	0	2	0	4		0.049262494		0.159200333
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1		5.81E+07		3.58E+07		4.67E+07		3.53E+07		1.95E+07		1.58E+07		1.56E+07		1.74E+07	0	5	0	4		0.052455337		0.068511168
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	Galectin-8		5521891		6550089		6186328		7550172									0	1	0	2		0.36945724		0.87068036
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	3.29E+07	2.99E+07	1.37E+07	2.74E+07	2.99E+07	2.84E+07	1.22E+07	1.88E+07	1.54E+07	1.19E+07	1.73E+07	8750882	1.29E+07	1.21E+07	1.44E+07	6278666.5	3	4	2	4	0.073260171	0.108715746	-0.040350866	-0.237037472
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	1.68E+09	5.37E+08	1.30E+09	7.24E+08	1.18E+09	5.83E+08	1.26E+09	7.13E+08	2.51E+08	8.41E+07	1.97E+08	1.17E+08	2.28E+08	9.00E+07	2.31E+08	1.16E+08	24	16	23	17	-0.28162638	0.119745581	0.180357834	0.08016905
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	7.48E+08	5.18E+08	6.62E+08	5.36E+08	6.85E+08	4.26E+08	6.52E+08	4.71E+08	9.65E+07	8.58E+07	7.09E+07	8.30E+07	7.12E+07	6.46E+07	6.44E+07	6.55E+07	17	18	18	21	-0.153850971	-0.053282274	0.149870696	0.060896019
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	4.46E+07	2.13E+07	2.07E+07	5.17E+07	4.52E+07	2.04E+07	2.67E+07	6.34E+07	2.10E+07	1.99E+07	1.83E+07	1.95E+07	2.29E+07	2.82E+07	2.16E+07	2.62E+07	3	2	1	4	-0.407127707	0.132774588	1.19340609	0.377764453
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	Menin		2146826.5	2.43E+07		5794334.5	1806213.1											0	1	0	0		-0.043700974		
sp|O00257|CBX4_HUMAN	O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4			1.33E+07				7154160.5										0	0	0	0				
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6.94E+07				5.74E+07												2	0	0	0	-0.25826172			
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	4.09E+07	7.22E+07	1.44E+07	1.12E+08	4.33E+07	3.99E+07		9.37E+07	1.29E+07	3.16E+07	1.82E+07	3.35E+07	1.81E+07	1.51E+07		2.57E+07	2	6	0	9	0.689841613	-0.500597317		0.015866589
sp|O00268|TAF4_HUMAN	O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.22E+07	1446450.8	1.69E+07	4542865	9354781	1393193.4	2.27E+07	5540397	7857922	1238876.2	1.11E+07	2453504.2	7372890	1308684.1	1.20E+07	3345976.8	2	1	2	2	-0.33945858	0.15141468	0.620244248	0.483484586
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	3035071.5	7.67E+07		1.55E+07	3338963.5	3.37E+07		1.11E+07	4527350.5	2.13E+07		1.86E+07	3338963.5	1.56E+07		9161988	1	3	0	2	0.406054359	0.290829291		-0.329195938
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	3.63E+08	3.24E+09	3.74E+08	4.05E+09	2.69E+08	2.34E+09	2.60E+08	3.15E+09	1.10E+08	1.05E+09	1.30E+08	1.08E+09	9.42E+07	7.16E+08	1.01E+08	7.96E+08	8	18	8	18	-0.257371102	-0.363406739	-0.607964882	-0.209008519
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	4.22E+08	1.84E+08	3.61E+08	1.90E+08	3.70E+08	1.88E+08	3.15E+08	2.13E+08	9.73E+07	5.60E+07	6.95E+07	6.46E+07	1.05E+08	6.06E+07	9.04E+07	7.68E+07	11	9	10	8	0.019741725	-0.01309024	0.263088065	0.129849276
sp|O00308|WWP2_HUMAN	O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	8849955		1.17E+07	1937182			2.74E+07	1494920	8849955		1.17E+07						0	0	1	1			2.270730757	-0.166259398
sp|O00311|CDC7_HUMAN	O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase	437019.03				295656.4	638741.3							295656.4	638741.3			1	0	0	0	-0.295389942			
